x,y,z,type
3.99,29.57,513.67,2
11.6,48.26,560.18,2
40.5,36.64,697.41,4
12.99,50.8,570.76,2
88.07,97.97,487.07,2
15.26,22.41,584.67,2
21.25,62.12,556.91,2
38.07,47.74,647.41,2
93.34,59.96,542.85,2
63.64,24.55,550.95,2
51.41,7.71,536.81,2
95.97,29.4,506.88,2
38.74,22.82,658.79,4
4.57,34.15,533.33,2
91.84,34.65,528.63,2
54.67,27.56,597.1,2
85.73,66.31,606.25,2
71.01,39.43,587.6,2
17.2,52.83,608.23,2
11.15,53.52,551.09,2
39.23,11.32,524.93,2
69.1,5.15,504.87,2
2.49,6.19,525.83,2
6.89,62.11,505.86,2
19.42,43.31,614.97,4
31.85,37.74,716.31,4
55.16,18.95,527.58,2
43.98,78.02,564.91,2
81.77,71.45,613.56,2
75.51,53.97,635.97,2
69.07,1.64,495.92,2
80.4,92.93,469.99,2
42.34,36.39,682.83,4
92.65,65.56,550.89,2
0.99,22.53,501.89,2
32.38,26.07,676.1,4
11.51,29.11,560.37,2
98.85,54.98,511.13,2
30.94,59.09,601.9,4
2.31,58.59,494.67,2
67.8,65.77,666.33,4
10.54,75.6,501.36,2
24.6,64.45,550.69,2
41.17,41.21,658.39,4
84.96,93.85,460.51,2
78.99,49.33,577.78,2
66.88,51.4,708.26,4
40.35,9.34,505.2,2
77.58,95.38,494.21,2
14.91,71.05,494.73,2
9.58,19.6,504.89,2
35.07,10.57,514.13,2
42.65,2.95,474.24,2
96.75,51.3,518.83,2
36.13,51.67,634.94,2
80.11,55.68,577.85,2
40.22,75.83,582.34,4
27.22,10.6,579.36,2
21.15,42.21,632.9,2
84.07,26.84,563.43,2
65.82,85.2,530.95,2
71.04,82.91,538.56,2
37.61,2.18,474.08,1
98.24,66.69,493.12,2
21.77,52.97,616.66,2
4.65,20.34,487.43,2
60.42,60.25,716.98,4
95.08,81.2,507.27,2
1.1,77.99,526.39,2
6.65,66.89,515.25,2
54.11,25.97,576.3,2
94.38,57.45,528.37,2
14.68,64.53,545.28,2
47.76,73.91,603.14,4
48.57,91.04,537.44,2
27.25,51.51,620.44,4
85.83,90.9,472.03,2
95.99,28.31,528.14,2
55.45,79.8,588.92,4
53.64,65.36,664.7,4
79.75,45.88,588.35,4
90.93,72.42,541.64,2
80.95,55.0,551.8,2
11.56,83.0,459.38,2
91.45,2.89,446.86,2
65.49,73.37,596.57,4
52.67,49.47,738.23,4
56.96,20.57,547.26,2
1.74,52.61,537.5,2
17.55,15.22,556.36,2
70.71,67.42,648.66,2
13.18,51.31,561.75,2
12.22,8.82,513.53,2
45.99,89.54,532.14,2
85.81,73.51,605.37,2
15.82,2.37,509.04,2
73.66,20.97,538.66,2
26.65,56.66,602.96,2
37.81,82.23,548.05,2
8.46,65.16,530.22,2
50.07,93.29,514.18,2
34.1,1.62,490.47,2
89.71,52.03,510.13,2
96.77,43.06,518.37,2
92.21,49.27,504.11,2
30.26,34.58,704.13,4
60.91,30.24,610.83,2
58.44,22.62,532.67,2
70.21,83.58,543.09,2
51.19,13.39,572.39,2
15.59,84.39,478.2,2
47.02,97.42,515.11,2
85.38,6.93,475.05,1
55.7,55.07,721.49,4
45.59,18.97,615.01,2
20.11,60.86,574.4,2
37.75,97.36,495.03,2
6.76,29.12,542.06,2
96.38,50.97,520.63,2
25.57,19.09,598.53,4
13.33,73.77,498.85,2
28.81,26.37,655.6,4
68.34,96.03,541.59,2
36.36,89.67,499.98,2
29.76,59.09,589.57,4
80.3,28.41,554.09,2
12.54,58.15,577.54,2
87.73,12.91,485.08,2
37.98,30.85,721.38,4
69.82,72.8,606.23,4
82.56,60.52,576.78,2
46.01,89.51,535.06,2
45.37,88.69,557.34,2
61.79,98.7,543.55,2
35.59,91.68,486.37,2
36.17,96.89,499.46,2
84.28,22.36,539.83,2
34.98,23.89,663.13,4
73.59,49.53,660.71,4
75.97,51.54,637.4,2
50.41,53.79,714.52,4
66.77,2.49,511.85,2
68.48,3.65,512.88,2
51.01,50.62,723.78,4
75.74,29.35,548.97,2
90.03,64.79,559.31,2
94.41,68.57,530.19,2
92.72,50.79,505.08,2
42.69,83.07,538.31,2
28.84,56.44,604.47,2
99.19,81.82,530.88,2
90.99,67.9,550.6,2
60.22,68.74,679.73,4
29.6,67.21,592.0,4
97.07,98.66,482.96,2
73.1,85.03,550.35,2
7.63,57.28,535.04,2
76.36,89.23,525.7,2
63.12,7.3,529.83,2
70.36,89.73,558.86,2
88.01,76.21,550.88,2
19.86,4.52,515.28,2
35.9,21.0,628.03,2
64.23,70.61,645.4,4
5.05,17.44,502.57,2
27.74,93.26,507.4,2
3.88,14.62,525.96,2
63.53,97.09,563.47,2
19.89,99.49,527.48,2
65.3,43.02,643.54,4
65.29,23.07,563.02,2
99.57,8.07,518.35,2
76.0,98.49,493.3,2
69.68,39.49,590.71,4
54.95,81.39,586.13,4
71.39,90.71,536.65,2
39.76,18.07,611.72,4
60.42,45.83,687.27,4
9.09,87.09,482.15,2
40.67,40.2,676.11,4
82.16,19.17,506.21,2
61.33,86.84,522.74,2
11.37,9.17,521.64,2
41.81,58.13,695.28,4
47.69,5.1,510.85,2
40.02,5.45,497.46,2
51.59,23.61,582.22,2
76.21,5.28,531.74,2
99.53,1.91,506.01,2
7.13,3.03,549.38,2
0.51,26.34,505.06,2
27.45,71.88,556.47,2
10.36,50.86,560.72,2
53.23,89.92,546.03,2
39.29,50.96,661.25,4
72.26,29.53,536.36,2
49.13,32.36,652.08,4
46.63,84.47,573.04,2
60.54,60.45,726.9,4
3.25,76.91,497.9,2
24.97,83.12,547.06,2
48.36,37.09,678.64,4
42.98,71.36,606.98,2
66.48,7.35,502.18,2
61.94,25.06,555.84,2
83.08,8.12,484.74,2
47.5,72.37,602.95,2
88.56,90.51,484.84,2
0.94,19.41,505.64,2
15.0,75.43,494.01,2
95.72,4.84,468.21,1
75.38,90.82,523.19,2
84.02,92.42,490.05,2
55.17,24.01,570.71,2
14.12,36.12,583.91,2
72.76,67.07,615.69,2
73.02,58.61,677.47,4
39.41,57.71,652.34,4
13.78,51.17,592.36,4
96.35,39.69,503.18,2
56.74,10.55,544.06,2
70.34,93.05,561.53,2
8.54,29.39,568.9,2
6.15,80.72,516.99,2
58.53,29.88,596.46,4
33.3,1.69,497.8,2
37.64,84.8,536.11,2
32.84,38.48,697.27,4
27.45,1.82,518.75,2
94.89,34.86,500.47,2
67.16,95.25,540.93,2
49.36,63.0,678.05,4
36.32,98.3,484.71,2
30.57,8.26,541.39,2
10.68,36.43,589.26,2
93.07,37.0,505.8,2
58.79,76.24,602.27,2
19.56,66.58,544.21,2
34.09,81.57,549.72,2
10.83,43.75,582.78,2
36.16,52.39,630.41,4
50.59,70.0,615.11,2
89.45,97.95,490.45,2
13.54,17.26,534.02,2
36.61,76.02,609.5,2
54.14,76.44,614.28,4
82.41,31.92,562.62,2
67.61,41.4,636.87,4
19.39,0.6,506.35,2
87.9,60.01,567.28,2
85.75,40.77,544.23,2
93.69,70.57,535.17,2
80.45,72.66,596.75,4
51.19,83.49,576.27,2
56.35,43.37,734.77,4
64.53,13.31,526.09,2
35.96,4.79,488.87,2
69.78,86.37,560.04,2
36.62,67.89,662.91,4
40.95,54.0,676.07,4
86.76,27.15,579.71,2
52.07,48.41,746.95,4
10.67,91.71,500.75,2
73.91,63.83,625.86,2
58.48,99.42,517.11,2
36.17,56.47,641.44,2
95.78,75.77,501.61,2
70.73,89.25,543.45,2
43.12,38.4,679.65,4
64.13,22.55,551.61,2
38.82,42.43,666.79,4
92.14,28.47,558.4,2
55.75,48.72,744.36,4
96.58,90.33,529.92,2
54.7,30.06,627.7,4
28.47,74.47,581.96,4
44.05,55.19,711.71,4
42.23,65.2,661.2,4
46.58,59.26,710.04,4
8.49,27.4,552.68,2
10.72,95.95,518.62,2
66.62,69.99,620.61,2
45.97,79.96,576.37,2
16.33,2.8,509.17,2
23.47,29.69,623.08,4
67.59,82.2,547.56,2
6.08,56.47,533.45,2
89.35,46.37,477.85,1
0.83,28.53,508.25,2
83.24,13.3,489.45,2
53.12,66.85,648.93,4
79.04,6.7,503.26,2
75.71,1.23,503.5,2
64.93,85.4,518.47,2
50.42,48.43,735.79,4
88.03,8.54,468.16,1
71.46,92.33,555.49,2
70.54,50.82,700.34,4
70.7,73.49,584.19,2
38.46,69.95,631.79,2
73.59,26.41,518.38,2
97.0,32.28,505.06,2
9.95,6.0,532.3,2
52.79,73.9,617.06,4
37.97,35.38,717.16,4
69.46,54.79,704.11,4
36.9,48.04,649.45,2
92.24,32.57,531.27,2
45.29,75.02,602.13,4
83.73,22.06,537.07,2
34.19,57.07,625.16,4
5.09,62.93,502.35,2
55.73,84.14,562.99,2
57.93,12.03,516.27,2
74.59,32.59,552.74,2
34.69,71.88,638.03,2
80.64,95.52,465.2,1
71.13,46.85,658.97,4
21.29,45.45,637.7,4
58.54,8.89,541.33,2
19.8,75.68,483.49,2
44.9,25.75,653.84,4
68.95,76.25,569.14,2
96.32,43.46,491.53,2
60.06,88.63,529.46,2
16.65,29.41,584.85,4
77.9,20.52,515.75,2
32.35,51.06,625.83,2
66.06,25.6,561.63,2
96.03,74.43,516.89,2
53.7,61.26,670.05,4
9.4,59.15,543.35,2
47.71,77.53,596.12,2
36.67,95.15,476.27,2
74.41,91.6,541.03,2
17.44,13.9,560.38,2
69.47,39.72,620.03,2
5.0,14.11,500.38,2
91.94,86.55,514.4,2
26.1,21.07,593.89,2
65.92,29.78,586.16,2
19.98,60.9,589.56,2
85.71,91.43,481.74,2
85.96,3.09,488.81,2
91.29,88.76,509.92,2
95.41,66.85,516.59,2
44.81,65.09,665.97,4
76.32,44.12,628.52,4
63.09,2.36,540.66,2
68.0,77.34,544.77,2
76.6,46.14,614.57,2
80.18,18.5,505.77,2
14.26,37.15,580.42,2
78.96,56.75,580.91,4
1.75,16.24,515.27,2
19.5,79.7,480.24,2
29.68,6.52,553.08,2
14.35,33.1,604.33,2
81.1,88.13,507.96,2
44.58,97.44,501.86,2
82.6,17.42,508.23,2
48.35,55.93,706.66,4
51.24,47.99,726.84,4
56.52,96.13,507.25,2
36.96,24.77,689.61,4
82.54,12.0,482.95,2
29.54,53.33,603.89,2
75.79,88.91,527.86,2
16.86,68.86,512.84,2
69.86,32.38,571.7,2
56.57,97.28,501.14,2
85.01,17.6,510.62,2
94.78,40.02,478.1,2
40.14,18.12,628.73,2
55.38,0.7,562.19,2
9.4,60.55,532.29,2
34.53,31.66,700.37,4
47.84,83.13,567.87,2
46.49,69.65,628.09,2
54.08,22.85,544.33,2
86.11,15.3,512.54,2
20.14,67.87,521.02,2
13.04,25.82,583.97,2
37.86,67.71,657.3,4
76.55,13.4,515.26,2
28.71,60.32,590.82,4
81.95,38.23,584.69,4
76.88,93.78,495.96,2
15.93,61.69,566.4,2
52.15,75.1,613.47,4
41.63,72.43,616.72,4
29.47,80.53,569.71,2
29.92,66.15,587.9,4
60.51,16.59,517.89,2
83.49,48.33,528.14,2
57.16,50.27,726.34,4
32.13,64.3,602.58,2
12.21,50.49,573.35,2
94.25,88.0,518.22,2
46.2,85.9,555.5,2
73.16,9.15,522.06,2
63.96,77.59,567.64,2
76.21,36.51,574.75,2
84.73,65.0,576.12,2
7.23,26.29,539.68,2
7.02,0.9,535.64,2
79.91,47.48,563.96,2
2.77,9.08,523.9,2
11.91,3.02,522.14,2
55.35,57.18,710.29,4
86.24,17.4,508.23,2
32.13,59.92,620.67,2
55.79,91.92,522.56,2
89.82,89.38,480.76,2
96.82,22.44,522.84,2
3.54,3.48,533.44,2
56.12,89.93,507.81,2
25.76,90.79,529.21,2
15.13,60.48,564.38,2
73.64,65.48,616.64,2
76.83,30.86,549.78,2
14.38,85.46,473.73,2
23.66,38.67,657.61,4
34.7,94.09,468.19,2
0.77,97.45,481.24,2
1.26,34.44,521.55,2
89.06,15.43,520.25,2
29.03,0.95,527.82,2
25.72,89.48,514.86,2
55.99,20.49,525.31,2
59.72,69.57,651.73,4
53.67,71.94,618.88,2
0.21,67.07,472.66,2
71.97,95.09,547.93,2
47.05,32.23,645.43,2
80.4,38.03,566.59,2
29.38,81.11,575.43,2
8.93,46.08,574.07,2
50.72,41.79,713.21,4
0.05,57.93,498.28,2
10.83,15.24,524.73,2
49.38,5.78,537.19,2
