x,y,z,type
191.03,372.08,502.68,2
282.34,426.47,461.02,2
259.7,178.51,548.45,2
386.31,130.32,577.98,4
53.01,138.82,706.05,2
287.51,167.58,614.22,2
28.26,26.82,502.81,2
192.42,141.37,539.33,2
263.5,203.93,563.6,2
109.84,258.49,536.58,2
236.34,393.81,472.41,2
441.08,53.13,408.83,2
188.16,340.71,535.69,2
17.64,300.7,442.31,2
344.06,257.86,504.45,2
312.88,267.47,518.95,2
260.95,205.29,581.77,2
298.87,27.3,459.59,2
315.67,291.21,529.62,2
128.07,173.61,456.85,1
300.89,10.15,462.08,2
52.69,26.53,509.79,2
345.7,58.2,490.92,2
392.14,36.26,434.21,2
202.13,247.25,556.34,2
125.29,186.88,463.51,2
161.45,397.89,471.26,2
79.3,104.38,751.49,4
105.0,218.23,473.19,2
1.84,188.53,497.47,2
166.16,254.85,522.81,2
231.97,277.92,584.54,2
24.3,404.79,424.45,2
359.04,176.57,643.68,4
46.59,285.43,448.05,2
93.94,73.04,622.37,4
23.66,0.1,494.16,2
163.62,11.48,565.21,2
393.45,276.33,485.77,2
156.33,163.87,473.72,2
55.28,382.02,466.87,2
217.73,38.65,623.4,4
154.19,119.14,573.78,2
10.39,427.94,417.94,2
237.72,65.97,619.72,2
440.33,388.5,575.9,2
313.29,117.5,671.57,4
347.37,239.67,512.34,2
350.57,148.35,742.17,4
443.22,383.68,595.93,2
362.74,368.25,658.14,4
232.94,160.0,500.0,2
13.04,12.57,486.3,2
311.63,430.43,482.6,2
201.25,421.66,473.94,2
164.09,99.21,650.28,4
88.52,91.97,683.46,2
215.76,293.84,505.72,2
359.84,38.15,435.99,2
352.04,337.56,578.93,2
80.33,355.11,529.58,2
178.13,180.62,477.15,2
426.06,326.16,575.58,2
68.02,407.18,441.18,2
362.93,65.78,495.3,2
295.77,157.68,635.51,2
58.94,6.41,528.54,2
236.96,420.13,448.72,2
195.21,392.28,477.46,2
113.33,131.83,647.92,4
263.9,116.71,548.05,2
409.51,159.2,534.92,2
206.17,262.51,559.66,2
225.74,239.32,612.6,2
8.42,198.06,502.6,2
359.63,77.56,510.34,2
213.07,326.34,489.16,2
233.26,249.95,647.45,4
352.92,47.75,458.91,2
124.61,347.52,627.65,4
228.47,252.78,635.64,4
199.46,275.64,500.86,2
227.5,230.47,606.0,2
215.12,423.68,432.61,2
314.65,394.44,487.78,2
251.78,424.47,446.25,2
378.0,61.71,461.03,2
32.65,108.29,630.16,4
301.26,352.77,479.2,2
322.25,297.12,500.78,2
64.34,397.27,453.38,2
428.63,179.22,489.64,2
219.27,445.44,425.92,2
194.18,232.02,502.19,2
152.6,88.09,633.81,4
249.32,198.21,576.79,4
149.17,280.77,564.39,2
443.29,354.76,577.08,2
437.26,47.15,416.19,2
350.55,121.7,685.61,4
58.3,190.01,566.63,2
116.37,67.22,582.77,2
413.63,256.77,456.62,2
25.89,309.69,425.63,2
191.39,32.59,645.83,2
37.68,385.3,426.26,2
29.98,388.25,415.05,2
248.88,417.0,457.86,2
120.54,58.15,570.92,2
49.25,72.65,572.92,2
22.67,90.8,544.86,2
