x,y,z,type
83.56,56.15,391.31,1
13.16,25.33,403.67,1
90.01,73.05,375.94,1
7.51,91.81,409.2,1
35.17,86.61,406.05,1
84.37,8.54,399.62,1
99.48,24.45,404.79,1
67.85,51.78,378.67,1
77.3,28.52,375.76,1
92.01,95.52,403.83,1
39.12,48.88,515.18,1
17.91,41.66,536.78,4
63.23,76.2,407.56,3
62.65,36.22,403.0,3
68.33,15.53,379.6,1
24.97,55.26,579.19,4
14.31,8.45,414.97,1
8.07,2.07,412.17,1
70.08,37.81,382.47,1
82.1,10.41,384.73,1
16.85,26.07,411.38,1
44.88,85.4,394.26,1
43.01,89.3,404.38,1
27.96,33.24,493.19,2
69.94,52.81,379.53,1
3.8,94.18,401.23,1
20.04,57.4,560.26,4
61.55,98.78,383.77,3
64.97,48.2,376.15,3
17.25,20.23,402.65,1
31.75,93.26,387.41,1
55.46,6.25,397.58,1
82.26,32.93,380.95,1
73.9,33.42,376.16,1
12.32,94.44,418.05,1
82.2,38.35,390.77,1
2.75,32.54,414.56,1
99.6,19.21,406.87,1
41.69,9.01,412.28,1
1.22,6.68,395.39,1
23.96,13.05,404.02,1
6.8,79.14,390.02,1
88.75,64.52,380.92,1
78.87,53.46,397.05,1
38.65,12.02,395.79,1
68.99,51.79,370.5,1
30.17,62.54,505.34,4
46.39,55.1,460.72,2
17.89,58.7,537.41,4
52.21,17.73,387.1,1
87.35,59.03,406.65,1
13.65,33.87,449.3,2
63.25,80.4,394.96,3
99.94,3.13,383.88,1
66.75,44.62,369.59,1
62.97,69.85,406.76,3
48.16,94.1,412.05,1
92.32,61.18,387.47,1
2.01,84.98,407.18,1
47.06,73.07,385.34,1
61.46,12.77,393.46,3
3.89,36.79,423.92,1
75.82,12.52,385.05,1
67.57,19.93,390.85,1
58.25,93.79,383.59,1
41.97,50.83,483.96,4
83.57,9.35,394.36,1
44.19,81.54,394.83,1
29.85,16.29,414.75,1
97.59,87.64,392.04,1
23.0,60.91,533.24,4
70.49,76.04,383.03,1
40.21,45.18,495.2,4
1.69,18.66,397.91,1
32.57,53.51,546.98,1
70.58,46.04,382.45,1
20.71,19.38,401.78,1
93.4,82.64,385.21,1
89.88,34.24,392.83,1
91.56,61.32,392.83,1
55.81,95.77,389.57,1
43.0,49.87,480.87,4
18.97,5.67,401.22,1
30.38,60.85,512.85,1
26.98,20.54,414.84,1
55.58,41.1,413.37,1
90.39,92.51,401.75,1
5.59,87.77,395.52,1
98.73,85.27,403.63,1
36.93,91.01,406.86,1
3.71,57.54,445.18,2
15.19,79.45,409.33,1
40.4,41.53,472.95,2
99.18,52.44,391.36,1
96.23,21.7,394.74,1
55.97,38.19,392.88,1
55.27,3.76,409.2,1
1.65,29.76,397.21,1
43.28,47.46,480.14,4
87.79,57.51,390.49,1
69.1,24.56,390.77,1
57.8,21.37,398.93,1
78.52,6.64,383.38,1
80.5,0.34,390.22,1
23.93,72.2,441.11,2
6.93,98.64,414.28,1
95.6,80.46,397.36,1
5.42,48.33,464.49,2
49.88,11.39,407.49,1
55.76,93.59,395.45,1
98.41,95.13,385.31,1
72.25,36.06,389.3,1
47.1,60.07,438.43,2
39.54,82.07,396.12,1
24.31,19.46,414.12,1
68.59,98.87,361.64,1
23.35,89.28,396.57,1
4.55,86.42,406.88,1
14.5,22.4,392.17,1
37.07,15.97,409.01,1
70.28,16.23,379.68,1
65.26,40.45,378.48,1
65.91,95.29,379.68,1
83.17,4.37,392.08,1
99.76,47.64,385.11,1
32.98,86.27,400.13,1
16.0,34.44,470.34,2
47.06,84.71,398.6,1
88.24,21.33,378.72,1
8.22,36.89,449.22,2
31.94,69.03,462.94,2
76.25,83.41,369.58,1
80.03,10.81,390.35,1
21.3,17.88,417.07,1
59.87,21.08,402.61,1
13.32,6.11,403.3,1
43.86,20.74,391.95,1
29.96,86.31,401.31,1
36.67,46.44,513.33,4
16.34,47.99,553.63,4
80.86,11.04,381.6,1
65.54,64.98,384.87,1
2.86,63.84,420.57,1
89.58,8.81,400.89,1
59.8,15.81,390.46,1
65.57,52.31,364.12,1
41.36,61.7,446.71,2
39.56,32.86,432.85,2
31.29,40.74,534.84,4
88.35,79.56,374.51,1
23.1,35.44,494.14,1
68.95,80.63,386.3,1
70.1,15.3,395.32,1
49.52,10.16,404.34,1
77.7,98.33,390.17,1
32.66,96.54,389.3,1
33.8,19.6,423.08,1
85.26,8.3,390.7,1
83.89,50.36,400.9,1
5.82,39.09,434.01,2
59.84,58.77,391.75,1
57.02,20.78,398.65,1
2.02,66.34,419.86,1
15.49,73.63,407.04,1
90.93,46.65,411.08,1
98.51,94.71,383.84,1
98.29,32.73,396.04,1
28.8,53.74,565.94,4
59.76,35.17,390.44,1
46.47,37.45,425.19,1
39.29,42.53,487.16,4
27.55,92.98,385.07,1
72.23,26.63,390.68,1
47.91,54.01,455.17,2
96.51,1.69,386.85,1
91.66,13.73,398.7,1
65.6,52.87,370.26,1
84.49,25.66,372.16,1
6.71,36.06,432.39,2
30.8,74.82,445.13,2
82.87,75.98,372.98,1
8.19,5.63,407.23,1
24.22,40.4,549.6,4
73.73,13.32,375.34,1
99.86,5.3,379.98,1
15.7,70.37,428.94,1
45.24,4.47,416.8,1
0.2,62.22,418.87,1
50.96,93.36,411.94,1
38.63,41.24,486.42,4
11.17,39.49,471.88,2
58.93,24.78,397.54,1
54.59,20.23,393.68,1
87.92,75.07,372.56,1
34.59,93.62,392.78,1
73.15,69.65,383.39,1
75.56,25.95,373.41,1
2.88,8.91,395.61,1
50.13,79.58,391.13,1
84.88,56.9,403.46,1
10.06,57.67,482.92,4
70.13,97.94,362.1,1
87.27,32.49,385.61,1
78.64,9.91,388.08,1
49.74,24.39,387.41,1
62.38,73.24,402.18,3
34.37,91.33,392.74,1
64.88,53.55,375.85,3
87.53,48.51,413.67,1
90.99,35.74,394.21,1
68.17,53.64,369.51,1
53.65,83.16,387.94,1
51.38,95.36,410.25,1
0.39,2.23,396.8,1
37.85,12.61,409.55,1
77.81,55.35,376.52,1
43.73,59.96,441.89,2
24.64,96.03,393.33,1
32.88,60.93,500.18,4
21.85,62.24,518.63,4
42.97,43.46,472.26,2
40.31,41.25,466.07,2
25.61,58.98,545.74,4
54.99,61.16,406.7,1
56.56,6.97,401.36,1
63.8,81.65,391.74,3
59.07,84.09,403.94,1
87.98,57.15,396.6,1
41.82,57.21,480.88,1
82.19,24.93,369.36,1
8.81,50.98,507.94,1
2.32,78.77,391.05,1
0.52,37.96,424.44,1
92.94,12.26,388.36,1
29.31,14.65,403.19,1
41.71,38.19,451.34,2
68.76,42.1,384.72,1
87.92,27.98,371.98,1
47.25,42.45,448.81,2
5.44,90.47,409.36,1
43.03,57.25,457.18,2
16.17,7.29,406.16,1
52.19,57.88,412.89,1
39.31,78.83,410.47,1
46.32,86.4,400.25,1
64.12,66.56,386.48,3
85.93,72.79,368.04,1
15.59,66.75,448.06,2
96.6,3.45,393.17,1
8.37,46.12,482.61,1
53.28,91.0,396.09,1
2.93,75.96,401.35,1
8.6,20.56,390.7,1
22.57,71.95,449.59,2
18.4,56.54,547.71,1
40.37,7.09,396.28,1
31.79,64.86,487.29,4
28.16,28.6,464.1,2
39.2,1.7,411.46,1
88.29,18.18,378.52,1
4.46,15.02,404.37,1
34.62,94.39,402.99,1
30.89,50.24,567.85,4
91.09,16.69,394.16,1
25.14,39.46,536.28,1
11.07,43.33,494.83,1
71.82,80.24,388.08,1
23.19,31.71,462.06,2
82.42,4.53,404.09,1
37.48,21.33,407.57,1
57.11,43.02,405.57,1
29.21,45.36,571.41,1
68.93,83.6,396.13,1
89.1,92.51,396.3,1
90.81,13.27,397.06,1
97.79,48.62,386.75,1
74.71,25.31,388.79,1
29.17,26.21,436.3,2
60.23,14.12,385.61,3
99.84,55.39,386.69,1
0.0,11.6,392.74,1
84.4,39.95,389.99,1
77.32,44.76,380.92,1
12.16,2.92,410.41,1
82.74,14.29,383.05,1
21.58,12.6,408.91,1
11.18,2.49,409.31,1
9.32,15.31,397.38,1
93.83,9.48,404.49,1
2.17,64.52,423.68,1
84.69,25.01,364.97,1
95.65,29.99,397.68,1
5.58,43.59,459.18,2
63.82,72.84,405.57,3
41.36,27.16,402.5,1
39.95,36.78,450.49,2
47.31,74.33,380.38,1
3.98,93.7,411.8,1
96.17,15.34,406.96,1
12.1,27.56,398.6,1
0.31,39.9,421.88,1
44.39,63.73,422.87,1
5.38,32.52,414.75,1
64.68,54.01,383.69,3
85.83,68.86,386.73,1
34.82,15.08,410.38,1
37.87,7.49,409.67,1
40.46,24.25,408.28,1
46.36,19.51,399.39,1
84.8,80.64,367.2,1
10.46,60.61,468.48,2
32.55,28.11,450.83,2
0.83,74.58,393.0,1
32.83,69.12,456.51,2
47.34,9.31,405.87,1
45.93,6.47,408.19,1
13.66,56.27,526.52,4
92.65,62.66,400.49,1
43.41,44.22,461.11,2
16.33,94.51,399.99,1
12.49,79.92,391.53,1
67.51,43.64,370.27,1
71.68,26.08,388.26,1
48.78,58.27,423.41,1
94.17,96.3,405.97,1
85.66,64.58,376.4,1
79.4,31.06,379.65,1
38.65,99.45,401.87,1
10.98,79.64,389.96,1
82.32,68.57,374.44,1
44.84,18.17,383.62,1
57.01,3.24,391.07,1
88.32,61.82,400.12,1
8.6,95.89,414.45,1
32.16,99.14,395.02,1
44.3,50.95,461.35,2
89.85,83.48,378.79,1
4.08,71.13,397.86,1
50.73,34.85,395.99,1
79.33,1.5,395.6,1
46.94,57.24,447.32,2
80.79,29.97,364.65,1
66.15,34.52,390.97,1
51.97,84.19,395.83,1
31.92,41.21,523.99,4
85.29,13.2,385.77,1
12.9,20.71,404.14,1
84.89,51.4,395.08,1
0.99,72.14,393.69,1
27.53,52.53,584.22,1
27.27,81.99,410.56,1
58.3,35.17,403.72,1
56.24,8.5,391.66,1
96.2,55.0,388.52,1
52.58,83.2,392.6,1
92.94,97.77,403.16,1
92.81,64.78,392.32,1
39.59,75.16,407.5,1
9.7,96.76,410.31,1
36.07,16.59,409.76,1
