x,y,z,type
-11677877.56,5340945.52,1361.68,2
-11677875.93,5340869.27,1358.15,2
-11677873.21,5340833.46,1356.77,2
-11677838.83,5340869.75,1358.11,2
-11677858.88,5340683.36,1351.41,2
-11677839.07,5340755.46,1353.25,2
-11677801.22,5340983.42,1361.81,2
-11677838.96,5340717.82,1352.2,2
-11677801.23,5340945.98,1359.23,2
-11677838.94,5340679.77,1351.19,2
-11677801.07,5340832.09,1356.93,2
-11677838.95,5340641.6,1350.06,2
-11677839.09,5340602.66,1348.89,2
-11677763.61,5340984.06,1360.58,2
-11677763.35,5340946.18,1359.98,2
-11677762.84,5340907.61,1357.05,2
-11677839.62,5340565.12,1347.71,2
-11677800.95,5340679.6,1352.04,2
-11677800.49,5340641.7,1350.35,2
-11677762.89,5340793.18,1358.13,2
-11677762.63,5340756.1,1356.94,2
-11677724.67,5340983.98,1357.16,2
-11677725.13,5340945.75,1360.02,2
-11677762.5,5340717.6,1355.7,2
-11677724.55,5340907.6,1359.29,2
-11677839.12,5340489.59,1345.62,2
-11677836.96,5340450.53,1344.63,2
-11677725.53,5340755.72,1357.01,2
-11677800.49,5340489.69,1345.8,1
-11677763.11,5340565.2,1348.54,2
-11677686.63,5340793.98,1352.11,2
-11677724.57,5340642.0,1352.57,1
-11677800.77,5340451.59,1344.68,2
-11677688.39,5340753.88,1353.24,1
-11677648.65,5340946.08,1355.44,2
-11677686.81,5340716.8,1354.56,2
-11677649.07,5340907.86,1356.35,2
-11677762.54,5340489.51,1346.13,2
-11677687.13,5340679.63,1354.65,2
-11677648.98,5340831.23,1357.14,2
-11677686.47,5340641.7,1352.73,2
-11677762.52,5340451.63,1345.07,2
-11677826.17,5340338.96,1341.9,2
-11677725.0,5340526.97,1347.81,2
-11677611.13,5340945.44,1351.52,2
-11677822.86,5340301.86,1340.55,2
-11677686.94,5340527.43,1348.65,2
-11677572.1,5340984.14,1352.07,2
-11677648.3,5340603.29,1352.14,2
-11677573.34,5340871.0,1350.26,1
-11677686.8,5340489.14,1347.44,2
-11677574.19,5340831.47,1349.71,1
-11677572.0,5340794.14,1349.36,1
-11677724.97,5340374.79,1343.73,1
-11677535.07,5340983.88,1352.11,1
-11677572.76,5340717.53,1348.57,2
-11677534.55,5340907.62,1351.12,2
-11677572.76,5340679.98,1348.05,2
-11677534.57,5340832.14,1349.99,2
-11677572.94,5340641.35,1347.52,2
-11677648.45,5340451.45,1348.51,2
-11677611.2,5340526.41,1352.32,1
-11677496.27,5340946.01,1353.48,2
-11677496.14,5340869.13,1353.33,2
-11677534.43,5340679.5,1347.85,2
-11677647.75,5340413.03,1347.99,2
-11677573.86,5340564.95,1347.85,2
-11677496.35,5340832.47,1352.57,2
-11677685.96,5340336.96,1345.36,2
-11677610.11,5340451.16,1351.64,2
-11677648.13,5340374.99,1346.77,2
-11677458.65,5340945.8,1357.19,2
-11677458.57,5340907.96,1357.15,2
-11677572.96,5340489.02,1350.21,2
-11677458.73,5340869.61,1355.5,2
-11677496.14,5340679.87,1348.53,2
-11677533.96,5340565.92,1346.36,2
-11677762.21,5340184.63,1340.88,2
-11677457.63,5340792.96,1352.76,2
-11677534.37,5340527.27,1345.98,2
-11677573.22,5340450.67,1351.55,2
-11677496.0,5340602.92,1346.69,2
-11677457.65,5340717.84,1349.02,2
-11677536.69,5340488.53,1346.87,2
-11677420.02,5340870.12,1357.81,2
-11677801.74,5340108.33,1337.6,2
-11677420.33,5340831.84,1356.57,2
-11677420.55,5340793.58,1355.53,2
-11677535.33,5340450.68,1348.67,2
-11677420.58,5340755.57,1354.4,2
-11677497.16,5340488.88,1345.49,2
-11677382.95,5340907.56,1361.73,2
-11677458.49,5340565.06,1346.07,2
-11677420.39,5340679.61,1350.43,2
-11677381.86,5340869.53,1360.16,2
-11677761.86,5340108.88,1339.32,2
-11677382.0,5340831.81,1359.19,2
-11677382.45,5340755.57,1354.97,2
-11677381.97,5340717.6,1353.57,2
-11677344.85,5340945.75,1364.3,2
-11677458.59,5340489.1,1345.2,2
-11677344.41,5340906.61,1363.57,2
-11677344.54,5340869.84,1362.49,2
-11677759.97,5340069.87,1338.84,1
-11677458.83,5340451.0,1344.83,2
-11677344.73,5340793.46,1359.44,2
-11677797.23,5340032.43,1337.85,1
-11677497.2,5340374.18,1345.25,2
-11677306.55,5340983.76,1358.86,2
-11677344.34,5340717.12,1356.48,2
-11677381.86,5340565.88,1349.45,2
-11677306.52,5340869.35,1364.84,2
-11677344.45,5340679.11,1358.82,2
-11677306.59,5340831.63,1363.79,2
-11677763.1,5340032.37,1338.36,2
-11677306.29,5340793.72,1361.88,2
-11677268.57,5340983.48,1359.44,2
-11677793.43,5339994.46,1337.47,2
-11677306.44,5340717.66,1360.51,2
-11677268.99,5340907.7,1368.58,2
-11677648.14,5340112.29,1343.67,1
-11677708.52,5340052.32,1338.73,2
-11677343.42,5340565.36,1353.67,2
-11677269.67,5340793.45,1364.54,2
-11677381.22,5340451.32,1348.31,2
-11677342.85,5340526.07,1355.79,1
-11677268.09,5340755.15,1363.06,2
-11677305.64,5340603.17,1354.7,2
-11677268.24,5340718.57,1363.26,2
-11677230.33,5340908.34,1369.96,2
-11677572.98,5340146.1,1342.1,1
-11677230.69,5340869.58,1368.64,2
-11677306.52,5340564.96,1358.14,2
-11677268.49,5340680.57,1365.92,2
-11677230.87,5340831.61,1367.54,2
-11677268.78,5340640.8,1362.31,2
-11677646.37,5340058.6,1338.74,2
-11677230.73,5340755.52,1367.3,2
-11677420.96,5340298.83,1343.0,2
-11677268.21,5340602.75,1358.25,2
-11677231.29,5340718.04,1365.66,2
-11677343.61,5340413.36,1347.98,2
-11677763.48,5339955.74,1336.36,2
-11677306.55,5340489.53,1354.85,2
-11677648.6,5340033.13,1338.12,2
-11677230.72,5340678.86,1368.23,2
-11677230.16,5340641.2,1364.1,2
-11677268.11,5340526.32,1359.35,2
-11677192.61,5340754.92,1370.02,2
-11677153.71,5340946.6,1368.97,2
-11677192.27,5340717.75,1369.0,2
-11677267.96,5340489.41,1354.77,2
-11677613.83,5340033.68,1338.75,2
-11677152.95,5340831.9,1369.64,2
-11677192.89,5340640.5,1365.67,2
-11677154.22,5340793.59,1370.71,2
-11677230.0,5340527.63,1358.77,2
-11677153.67,5340754.85,1370.83,2
-11677194.54,5340604.55,1364.86,2
-11677342.52,5340300.16,1346.24,1
-11677116.22,5340946.07,1369.85,2
-11677154.75,5340717.8,1370.38,2
-11677230.19,5340488.71,1357.32,2
-11677115.88,5340869.81,1367.77,2
-11677154.06,5340679.47,1370.47,2
-11677192.09,5340562.09,1366.45,2
-11677114.58,5340794.45,1367.97,2
-11677610.65,5339993.98,1338.28,2
-11677725.03,5339917.66,1336.54,2
-11677267.52,5340374.93,1351.34,2
-11677653.58,5339961.66,1339.02,1
-11677595.47,5339997.28,1338.86,1
-11677154.14,5340603.43,1370.23,2
-11677115.37,5340717.89,1370.15,2
-11677077.58,5340907.93,1369.18,2
-11677077.88,5340869.58,1368.13,2
-11677078.26,5340830.91,1366.81,2
-11677154.35,5340564.94,1369.39,2
-11677229.66,5340375.03,1354.61,2
-11677115.2,5340640.72,1370.89,2
-11677151.78,5340526.25,1366.0,2
-11677039.99,5340982.6,1372.09,2
-11677115.36,5340603.42,1371.15,2
-11677040.12,5340869.58,1368.59,2
-11677724.63,5339880.35,1334.42,2
-11677116.16,5340564.79,1369.56,2
-11677040.08,5340793.27,1365.94,2
-11677534.91,5339994.95,1338.66,2
-11677153.22,5340452.73,1364.32,2
-11677191.89,5340375.2,1357.79,2
-11677649.07,5339914.49,1336.86,2
